item_category_name,item_category_id
PC - 헤드셋 / 헤드폰,0
액세서리 - PS2.,1
액세서리 - PS3.,2
액세서리 - PS4.,3
액세서리 - PSP.,4
액세서리 - PSVITA.,5
액세서리 - Xbox 360.,6
액세서리 - Xbox One.,7
티켓 (숫자),8
상품 배달,9
게임 콘솔 - PS2.,10
게임 콘솔 - PS3.,11
게임 콘솔 - PS4.,12
게임 콘솔 - PSP.,13
게임 콘솔 - PSVita.,14
게임 콘솔 - Xbox 360.,15
게임 콘솔 - Xbox One.,16
게임 콘솔 - 다른 것,17
게임 - PS2.,18
게임 - PS3.,19
게임 - PS4.,20
게임 - PSP.,21
게임 - PSVITA.,22
게임 - Xbox 360.,23
게임 - Xbox One.,24
게임 - 게임 액세서리,25
안드로이드 게임 - 숫자,26
맥 게임 - 숫자,27
PC 게임 - 추가 버전,28
PC 게임 - Collectible Editions,29
PC 게임 - Standard Editions.,30
PC 게임 - 숫자,31
"지불 카드 (시네마, 음악, 게임)",32
지불 카드 - 라이브!,33
지불 카드 - 라이브!(숫자),34
지불 카드 - PSN.,35
지불 카드 - Windows (숫자),36
필름 - 블루 레이,37
시네마 - 블루 레이 3D.,38
시네마 - 블루 레이 4K.,39
시네마 - DVD.,40
시네마 - 수령,41
"책 - artbooks, 백과 사전",42
책 - 오디오 북,43
책 - 오디오 북 (그림),44
책 - 오디오 북 1C.,45
책 - 비즈니스 문헌,46
"책 - 만화, 만화",47
책 - 컴퓨터 문헌,48
책 - 방법 론적 자료 1C.,49
책 - 엽서,50
책 -인지 문학,51
책 - 가이드 북,52
책 - 소설,53
책 - 번호,54
음악 - 지역 생산 CD.,55
음악 - CD 기업 생산,56
음악 - MP3.,57
음악 - 비닐,58
음악 - 뮤직 비디오,59
음악 - 기프트 판,60
선물 - 속성,61
"선물 - 가제트, 로봇, 스포츠",62
선물 - 부드러운 장난감,63
선물 - 보드 게임,64
선물 - 보드 게임 (컴팩트),65
"선물 - 엽서, 스티커",66
선물 - 개발,67
"선물 - 인증서, 서비스",68
선물 - 기념품,69
선물 - 기념품 (히치),70
"선물 - 가방, 앨범, 러그 D / 마우스",71
선물 - 그림,72
프로그램 - 1C : 기업 8.,73
프로그램 - Mac (숫자),74
프로그램 - 가정과 사무실의 경우,75
프로그램 - 가정 및 사무실 (숫자),76
프로그램 - 훈련,77
프로그램 - 교육 (숫자),78
서비스,79
서비스 - 티켓,80
클린 미디어 (첨탑),81
클린 미디어 (조각),82
전원 요소,83
