"행정구역","2021년11월_계_총인구수","2021년11월_계_연령구간인구수","2021년11월_계_0~9세","2021년11월_계_10~19세","2021년11월_계_20~29세","2021년11월_계_30~39세","2021년11월_계_40~49세","2021년11월_계_50~59세","2021년11월_계_60~69세","2021년11월_계_70~79세","2021년11월_계_80~89세","2021년11월_계_90~99세","2021년11월_계_100세 이상","2021년11월_남_총인구수","2021년11월_남_연령구간인구수","2021년11월_남_0~9세","2021년11월_남_10~19세","2021년11월_남_20~29세","2021년11월_남_30~39세","2021년11월_남_40~49세","2021년11월_남_50~59세","2021년11월_남_60~69세","2021년11월_남_70~79세","2021년11월_남_80~89세","2021년11월_남_90~99세","2021년11월_남_100세 이상","2021년11월_여_총인구수","2021년11월_여_연령구간인구수","2021년11월_여_0~9세","2021년11월_여_10~19세","2021년11월_여_20~29세","2021년11월_여_30~39세","2021년11월_여_40~49세","2021년11월_여_50~59세","2021년11월_여_60~69세","2021년11월_여_70~79세","2021년11월_여_80~89세","2021년11월_여_90~99세","2021년11월_여_100세 이상","2021년12월_계_총인구수","2021년12월_계_연령구간인구수","2021년12월_계_0~9세","2021년12월_계_10~19세","2021년12월_계_20~29세","2021년12월_계_30~39세","2021년12월_계_40~49세","2021년12월_계_50~59세","2021년12월_계_60~69세","2021년12월_계_70~79세","2021년12월_계_80~89세","2021년12월_계_90~99세","2021년12월_계_100세 이상","2021년12월_남_총인구수","2021년12월_남_연령구간인구수","2021년12월_남_0~9세","2021년12월_남_10~19세","2021년12월_남_20~29세","2021년12월_남_30~39세","2021년12월_남_40~49세","2021년12월_남_50~59세","2021년12월_남_60~69세","2021년12월_남_70~79세","2021년12월_남_80~89세","2021년12월_남_90~99세","2021년12월_남_100세 이상","2021년12월_여_총인구수","2021년12월_여_연령구간인구수","2021년12월_여_0~9세","2021년12월_여_10~19세","2021년12월_여_20~29세","2021년12월_여_30~39세","2021년12월_여_40~49세","2021년12월_여_50~59세","2021년12월_여_60~69세","2021년12월_여_70~79세","2021년12월_여_80~89세","2021년12월_여_90~99세","2021년12월_여_100세 이상"
"전국  (0000000000)","51,652,704","51,652,704","3,775,503","4,716,775","6,674,970","6,731,509","8,165,990","8,631,102","7,147,578","3,712,470","1,825,295","262,341","9,171","25,754,446","25,754,446","1,935,496","2,435,359","3,502,253","3,475,467","4,150,170","4,364,359","3,500,609","1,681,112","649,711","58,142","1,768","25,898,258","25,898,258","1,840,007","2,281,416","3,172,717","3,256,042","4,015,820","4,266,743","3,646,969","2,031,358","1,175,584","204,199","7,403","51,638,809","51,638,809","3,760,350","4,709,316","6,655,923","6,723,435","8,166,792","8,635,211","7,164,712","3,715,084","1,835,481","264,544","7,961","25,746,684","25,746,684","1,927,798","2,431,349","3,491,682","3,472,711","4,150,248","4,366,299","3,508,745","1,683,401","654,228","58,851","1,372","25,892,125","25,892,125","1,832,552","2,277,967","3,164,241","3,250,724","4,016,544","4,268,912","3,655,967","2,031,683","1,181,253","205,693","6,589"
"서울특별시  (1100000000)","9,520,880","9,520,880","586,559","758,445","1,426,394","1,440,774","1,483,164","1,507,704","1,285,127","695,892","293,290","41,521","2,010","4,624,290","4,624,290","301,243","388,791","686,810","719,415","734,754","742,848","607,002","316,719","115,686","10,523","499","4,896,590","4,896,590","285,316","369,654","739,584","721,359","748,410","764,856","678,125","379,173","177,604","30,998","1,511","9,509,458","9,509,458","583,683","756,136","1,422,277","1,439,279","1,480,780","1,507,194","1,285,922","695,800","295,009","41,735","1,643","4,618,040","4,618,040","299,764","387,691","684,530","718,763","733,371","742,757","607,114","316,508","116,524","10,637","381","4,891,418","4,891,418","283,919","368,445","737,747","720,516","747,409","764,437","678,808","379,292","178,485","31,098","1,262"
"부산광역시  (2600000000)","3,353,627","3,353,627","220,636","266,474","417,317","406,584","502,425","555,462","548,572","297,407","122,945","15,294","511","1,640,867","1,640,867","113,243","137,268","216,458","208,566","253,458","270,587","258,855","134,376","44,710","3,255","91","1,712,760","1,712,760","107,393","129,206","200,859","198,018","248,967","284,875","289,717","163,031","78,235","12,039","420","3,350,380","3,350,380","219,611","266,105","415,549","405,300","502,391","554,768","548,878","298,128","123,791","15,457","402","1,639,044","1,639,044","112,744","137,079","215,370","207,947","253,509","270,303","258,914","134,692","45,094","3,330","62","1,711,336","1,711,336","106,867","129,026","200,179","197,353","248,882","284,465","289,964","163,436","78,697","12,127","340"
"대구광역시  (2700000000)","2,388,230","2,388,230","168,602","218,976","310,800","285,532","372,803","419,916","341,719","177,394","82,243","9,968","277","1,177,136","1,177,136","86,359","114,148","165,492","149,695","184,070","205,615","162,609","77,848","29,102","2,154","44","1,211,094","1,211,094","82,243","104,828","145,308","135,837","188,733","214,301","179,110","99,546","53,141","7,814","233","2,385,412","2,385,412","167,823","218,537","308,921","284,865","372,555","419,444","342,291","177,828","82,781","10,122","245","1,175,632","1,175,632","85,980","113,890","164,484","149,452","183,962","205,369","162,849","78,079","29,339","2,197","31","1,209,780","1,209,780","81,843","104,647","144,437","135,413","188,593","214,075","179,442","99,749","53,442","7,925","214"
"인천광역시  (2800000000)","2,946,319","2,946,319","218,194","271,348","391,498","401,742","480,658","510,589","397,525","179,068","82,331","12,928","438","1,475,245","1,475,245","111,933","139,487","204,050","208,043","246,215","255,055","196,854","82,068","28,725","2,718","97","1,471,074","1,471,074","106,261","131,861","187,448","193,699","234,443","255,534","200,671","97,000","53,606","10,210","341","2,948,375","2,948,375","217,384","271,131","391,051","402,091","481,066","510,969","399,128","179,244","82,853","13,041","417","1,476,373","1,476,373","111,554","139,390","203,834","208,279","246,522","255,130","197,657","82,211","28,963","2,749","84","1,472,002","1,472,002","105,830","131,741","187,217","193,812","234,544","255,839","201,471","97,033","53,890","10,292","333"
"광주광역시  (2900000000)","1,442,138","1,442,138","114,343","152,805","207,080","181,567","236,306","235,316","171,663","94,422","42,416","6,012","208","713,292","713,292","58,648","79,085","108,068","92,992","117,398","116,779","81,849","41,904","15,232","1,307","30","728,846","728,846","55,695","73,720","99,012","88,575","118,908","118,537","89,814","52,518","27,184","4,705","178","1,441,611","1,441,611","114,065","152,404","206,472","181,189","236,167","235,764","172,124","94,547","42,636","6,066","177","713,015","713,015","58,516","78,857","107,781","92,783","117,383","116,983","82,025","42,016","15,333","1,316","22","728,596","728,596","55,549","73,547","98,691","88,406","118,784","118,781","90,099","52,531","27,303","4,750","155"
"대전광역시  (3000000000)","1,453,675","1,453,675","107,912","142,601","210,148","189,983","231,153","240,267","190,076","92,291","42,957","6,098","189","725,406","725,406","55,492","73,738","110,127","99,530","115,145","120,042","92,225","42,054","15,636","1,384","33","728,269","728,269","52,420","68,863","100,021","90,453","116,008","120,225","97,851","50,237","27,321","4,714","156","1,452,251","1,452,251","107,548","142,175","209,397","189,669","231,018","240,017","190,514","92,390","43,199","6,155","169","724,626","724,626","55,295","73,527","109,664","99,378","115,072","119,967","92,406","42,139","15,747","1,405","26","727,625","727,625","52,253","68,648","99,733","90,291","115,946","120,050","98,108","50,251","27,452","4,750","143"
"울산광역시  (3100000000)","1,122,495","1,122,495","92,477","110,182","138,053","145,385","183,960","207,162","155,227","62,736","23,987","3,241","85","576,636","576,636","47,508","57,850","77,901","77,336","94,098","105,198","78,076","29,956","8,152","553","8","545,859","545,859","44,969","52,332","60,152","68,049","89,862","101,964","77,151","32,780","15,835","2,688","77","1,121,592","1,121,592","92,018","109,990","137,422","144,891","183,954","207,056","155,775","63,024","24,119","3,276","67","576,217","576,217","47,302","57,743","77,588","77,145","94,084","105,062","78,393","30,110","8,218","568","4","545,375","545,375","44,716","52,247","59,834","67,746","89,870","101,994","77,382","32,914","15,901","2,708","63"
"세종특별자치시  (3600000000)","369,465","369,465","46,913","45,439","38,251","61,298","72,186","48,474","33,344","14,704","7,533","1,285","38","184,441","184,441","23,896","22,924","19,613","29,878","36,531","25,363","16,533","6,852","2,581","262","8","185,024","185,024","23,017","22,515","18,638","31,420","35,655","23,111","16,811","7,852","4,952","1,023","30","371,895","371,895","47,063","45,794","38,510","61,719","72,764","48,876","33,522","14,775","7,557","1,288","27","185,678","185,678","23,984","23,081","19,728","30,131","36,831","25,581","16,596","6,870","2,606","263","7","186,217","186,217","23,079","22,713","18,782","31,588","35,933","23,295","16,926","7,905","4,951","1,025","20"
"경기도  (4100000000)","13,557,973","13,557,973","1,103,092","1,322,710","1,802,051","1,899,719","2,293,799","2,270,910","1,663,383","772,918","372,378","54,952","2,061","6,823,931","6,823,931","564,452","679,038","950,070","982,766","1,167,100","1,150,601","827,378","352,335","136,768","12,965","458","6,734,042","6,734,042","538,640","643,672","851,981","916,953","1,126,699","1,120,309","836,005","420,583","235,610","41,987","1,603","13,565,450","13,565,450","1,099,927","1,321,005","1,798,269","1,900,447","2,296,173","2,274,844","1,669,601","773,573","374,488","55,363","1,760","6,827,298","6,827,298","562,739","678,063","947,823","983,619","1,168,232","1,152,627","830,282","352,810","137,676","13,079","348","6,738,152","6,738,152","537,188","642,942","850,446","916,828","1,127,941","1,122,217","839,319","420,763","236,812","42,284","1,412"
