id,SIG_CD,SIG_ENG_NM,SIG_KOR_NM,id_2,SIG_CD_2,SIG_ENG_NM_2,SIG_KOR_NM_2
,"11110",Jongno-gu,종로구,,"11110",Jongno-gu,종로구
,"11140",Jung-gu,중구,,"11140",Jung-gu,중구
,"11170",Yongsan-gu,용산구,,"11170",Yongsan-gu,용산구
,"11200",Seongdong-gu,성동구,,"11200",Seongdong-gu,성동구
,"11215",Gwangjin-gu,광진구,,"11215",Gwangjin-gu,광진구
,"11230",Dongdaemun-gu,동대문구,,"11230",Dongdaemun-gu,동대문구
,"11260",Jungnang-gu,중랑구,,"11260",Jungnang-gu,중랑구
,"11290",Seongbuk-gu,성북구,,"11290",Seongbuk-gu,성북구
,"11305",Gangbuk-gu,강북구,,"11305",Gangbuk-gu,강북구
,"11320",Dobong-gu,도봉구,,"11320",Dobong-gu,도봉구
,"11350",Nowon-gu,노원구,,"11350",Nowon-gu,노원구
,"11380",Eunpyeong-gu,은평구,,"11380",Eunpyeong-gu,은평구
,"11410",Seodaemun-gu,서대문구,,"11410",Seodaemun-gu,서대문구
,"11440",Mapo-gu,마포구,,"11440",Mapo-gu,마포구
,"11470",Yangcheon-gu,양천구,,"11470",Yangcheon-gu,양천구
,"11500",Gangseo-gu,강서구,,"11500",Gangseo-gu,강서구
,"11530",Guro-gu,구로구,,"11530",Guro-gu,구로구
,"11545",Geumcheon-gu,금천구,,"11545",Geumcheon-gu,금천구
,"11560",Yeongdeungpo-gu,영등포구,,"11560",Yeongdeungpo-gu,영등포구
,"11590",Dongjak-gu,동작구,,"11590",Dongjak-gu,동작구
,"11620",Gwanak-gu,관악구,,"11620",Gwanak-gu,관악구
,"11650",Seocho-gu,서초구,,"11650",Seocho-gu,서초구
,"11680",Gangnam-gu,강남구,,"11680",Gangnam-gu,강남구
,"11710",Songpa-gu,송파구,,"11710",Songpa-gu,송파구
,"11740",Gangdong-gu,강동구,,"11740",Gangdong-gu,강동구
