"고유번호","일련번호","도시계획사항 코드","도시계획사항 명칭","결정조서 일련번호","고시 일련번호","라벨","고시일자","위도","경도"
"28","제3종일반주거지역_00354","UQA123","제3종일반주거지역"," "," ","제3종일반주거지역"," ","37.6238997","127.0743182"
"32","제3종일반주거지역_UQA12320111014347","UQA123","제3종일반주거지역","UQA12320111014347","58027353","제3종일반주거지역","20101125","37.5852926","127.0444978"
"34","제2종일반주거지역(7층이하)_00158","UQA124","제2종일반주거지역(7층이하)"," "," ","제2종일반주거지역(7층이하)"," ","37.5521425","127.0672125"
"35","제3종일반주거지역_00127","UQA123","제3종일반주거지역"," "," ","제3종일반주거지역"," ","37.5499703","127.0205428"
"36","제3종일반주거지역_00443","UQA123","제3종일반주거지역"," "," ","제3종일반주거지역"," ","37.5607129","126.91821"
"38","제2종일반주거지역(7층이하)_00582","UQA124","제2종일반주거지역(7층이하)"," "," ","제2종일반주거지역(7층이하)"," ","37.565232","126.9614207"
"39","제2종일반주거지역_01424","UQA122","제2종일반주거지역"," "," ","제2종일반주거지역"," ","37.5720578","126.8079835"
"43","제2종일반주거지역(7층이하)_00422","UQA124","제2종일반주거지역(7층이하)"," "," ","제2종일반주거지역(7층이하)"," ","37.6482582","127.0425541"
"24","제1종일반주거지역_00798","UQA121","제1종일반주거지역"," "," ","제1종일반주거지역"," ","37.5382163","126.8315705"
"5","제2종일반주거지역_01310","UQA122","제2종일반주거지역"," "," ","제2종일반주거지역"," ","37.4919715","127.1459968"
"6","제2종일반주거지역_UQA12220081030747","UQA122","제2종일반주거지역","UQA12220081030747","58010958","제2종일반주거지역"," ","37.6074529","127.0536141"
"7","제2종일반주거지역_00342","UQA122","제2종일반주거지역"," "," ","제2종일반주거지역"," ","37.6170348","127.1097498"
"9","제2종일반주거지역_00240","UQA122","제2종일반주거지역"," "," ","제2종일반주거지역"," ","37.5733214","127.0549172"
"10","제1종일반주거지역_00676","UQA121","제1종일반주거지역"," "," ","제1종일반주거지역"," ","37.5601365","126.9012352"
"11","제1종일반주거지역_00573","UQA121","제1종일반주거지역"," "," ","제1종일반주거지역"," ","37.6194233","126.9362244"
"13","준주거지역_4410","UQA130","준주거지역","30069","1732","준주거지역"," ","37.4829752","127.0618776"
"15","제2종일반주거지역(7층이하)_00977","UQA124","제2종일반주거지역(7층이하)"," "," ","제2종일반주거지역(7층이하)"," ","37.483596","127.0617841"
"18","제2종일반주거지역_01171","UQA122","제2종일반주거지역"," "," ","제2종일반주거지역"," ","37.4904223","126.9927593"
"19","제2종일반주거지역_01169","UQA122","제2종일반주거지역"," "," ","제2종일반주거지역"," ","37.5199709","127.015154"
"22","제2종일반주거지역(7층이하)_00571","UQA124","제2종일반주거지역(7층이하)"," "," ","제2종일반주거지역(7층이하)"," ","37.571844","126.9139577"
"23","제1종일반주거지역_00464","UQA121","제1종일반주거지역"," "," ","제1종일반주거지역"," ","37.642427","127.0724115"
"25","제1종일반주거지역_01044","UQA121","제1종일반주거지역"," "," ","제1종일반주거지역"," ","37.4801489","126.962707"
"26","제1종일반주거지역_00156","UQA121","제1종일반주거지역"," "," ","제1종일반주거지역"," ","37.5463786","127.0679024"
"29","제1종일반주거지역_00127","UQA121","제1종일반주거지역"," "," ","제1종일반주거지역"," ","37.5446128","127.0348424"
"30","제1종일반주거지역_00328","UQA121","제1종일반주거지역"," "," ","제1종일반주거지역"," ","37.6385745","127.0187115"
"33","제2종일반주거지역(7층이하)_00173","UQA124","제2종일반주거지역(7층이하)"," "," ","제2종일반주거지역(7층이하)"," ","37.5660721","127.0454986"
"41","제2종일반주거지역_00837","UQA122","제2종일반주거지역"," "," ","제2종일반주거지역"," ","37.5569482","126.8476515"
"42","제2종일반주거지역(7층이하)_00313","UQA124","제2종일반주거지역(7층이하)"," "," ","제2종일반주거지역(7층이하)"," ","37.5736134","127.0603866"
"44","제1종일반주거지역_01281","UQA121","제1종일반주거지역"," "," ","제1종일반주거지역"," ","37.4940998","127.0848453"
"1","제2종일반주거지역_00922","UQA122","제2종일반주거지역"," "," ","제2종일반주거지역"," ","37.5014736","126.8482384"
"2","제2종일반주거지역_01105","UQA122","제2종일반주거지역"," "," ","제2종일반주거지역"," ","37.4713008","127.0439767"
"3","제2종일반주거지역(7층이하)_00512","UQA124","제2종일반주거지역(7층이하)"," "," ","제2종일반주거지역(7층이하)"," ","37.5855589","126.9191752"
"8","제2종일반주거지역_00074","UQA122","제2종일반주거지역"," "," ","제2종일반주거지역"," ","37.5628226","127.0042422"
"12","제2종일반주거지역(7층이하)_01017","UQA124","제2종일반주거지역(7층이하)"," "," ","제2종일반주거지역(7층이하)"," ","37.5522799","126.9337144"
"4","제3종일반주거지역_00398","UQA123","제3종일반주거지역"," "," ","제3종일반주거지역"," ","37.5846784","126.9499956"
"16","제3종일반주거지역_00193","UQA123","제3종일반주거지역"," "," ","제3종일반주거지역"," ","37.5783512","127.0417786"
"17","제1종일반주거지역_00604","UQA121","제1종일반주거지역"," "," ","제1종일반주거지역"," ","37.6106608","126.9079304"
"21","제2종일반주거지역_00574","UQA122","제2종일반주거지역"," "," ","제2종일반주거지역"," ","37.6147082","126.9240121"
"27","제1종일반주거지역_UQA12120110114645","UQA121","제1종일반주거지역","UQA12120110114645","58026252","제1종일반주거지역","20101223","37.537988","127.0099368"
"31","제1종일반주거지역_UQA12120110831201","UQA121","제1종일반주거지역","UQA12120110831201","58027696","1종일반주거","20110421","37.4961334","127.1549513"
"124","제3종일반주거지역_UQA12320091216001","UQA123","제3종일반주거지역","UQA12320091216001","58008928","제3종일반주거지역"," ","37.5333249","126.861623"
"125","제2종일반주거지역_00920","UQA122","제2종일반주거지역"," "," ","제2종일반주거지역"," ","37.4912319","126.8247332"
"127","제2종일반주거지역_00197","UQA122","제2종일반주거지역"," "," ","제2종일반주거지역"," ","37.5488363","127.0247255"
"128","제1종일반주거지역_01110","UQA121","제1종일반주거지역"," "," ","제1종일반주거지역"," ","37.4920583","126.949988"
"129","제3종일반주거지역_00271","UQA123","제3종일반주거지역"," "," ","제3종일반주거지역"," ","37.6042245","127.0364084"
"130","제3종일반주거지역_00293","UQA123","제3종일반주거지역"," "," ","제3종일반주거지역"," ","37.6074234","127.0456865"
"140","제1종일반주거지역_00064","UQA121","제1종일반주거지역"," "," ","제1종일반주거지역"," ","37.5664816","126.975307"
"143","제2종일반주거지역_00769","UQA122","제2종일반주거지역"," "," ","제2종일반주거지역"," ","37.5470359","126.8692247"
"144","제1종일반주거지역_00053","UQA121","제1종일반주거지역"," "," ","제1종일반주거지역"," ","37.5741951","126.9649411"
"146","제1종일반주거지역_00448","UQA121","제1종일반주거지역"," "," ","제1종일반주거지역"," ","37.6656606","127.0517256"
"148","제2종일반주거지역(7층이하)_00755","UQA124","제2종일반주거지역(7층이하)"," "," ","제2종일반주거지역(7층이하)"," ","37.5084796","126.8520058"
"155","제1종일반주거지역_00130","UQA121","제1종일반주거지역"," "," ","제1종일반주거지역"," ","37.545549","127.0260508"
"156","제1종일반주거지역_00352","UQA121","제1종일반주거지역"," "," ","제1종일반주거지역"," ","37.6633105","127.0418485"
"157","제2종일반주거지역(7층이하)_00466","UQA124","제2종일반주거지역(7층이하)"," "," ","제2종일반주거지역(7층이하)"," ","37.6502959","127.0724248"
"158","제2종일반주거지역_01131","UQA122","제2종일반주거지역"," "," ","제2종일반주거지역"," ","37.4817621","127.004706"
"159","제2종일반주거지역_00345","UQA122","제2종일반주거지역"," "," ","제2종일반주거지역"," ","37.6116887","127.0665295"
"160","제3종일반주거지역_00670","UQA123","제3종일반주거지역"," "," ","제3종일반주거지역"," ","37.5815172","127.012346"
"161","제2종일반주거지역(7층이하)_UQA12420101112511","UQA124","제2종일반주거지역(7층이하)","UQA12420101112511","58025032","제2종일반주거지역(7층)","20101021","37.5917116","127.0612046"
"162","제1종일반주거지역_00101","UQA121","제1종일반주거지역"," "," ","제1종일반주거지역"," ","37.5354366","126.9664403"
"163","제1종전용주거지역_74","UQA111","제1종전용주거지역"," "," ","제1종전용주거지역"," ","37.6113658","126.9680016"
"164","제2종일반주거지역(7층이하)_00912","UQA124","제2종일반주거지역(7층이하)"," "," ","제2종일반주거지역(7층이하)"," ","37.5105497","127.0045337"
"165","제1종일반주거지역_01071","UQA121","제1종일반주거지역"," "," ","제1종일반주거지역"," ","37.4718671","126.9789573"
"168","제2종일반주거지역_01436","UQA122","제2종일반주거지역"," "," ","제2종일반주거지역"," ","37.4820409","126.9802169"
"169","제1종일반주거지역_00974","UQA121","제1종일반주거지역"," "," ","제1종일반주거지역"," ","37.4612972","126.9061539"
"45","제2종일반주거지역_00930","UQA122","제2종일반주거지역"," "," ","제2종일반주거지역"," ","37.4766541","126.9051088"
"46","제2종일반주거지역_UQA12220141125462","UQA122","제2종일반주거지역","UQA12220141125462","58033952","제2종일반주거지역","20140904","37.5058025","126.9112518"
"49","제3종일반주거지역_00785","UQA123","제3종일반주거지역"," "," ","제3종일반주거지역"," ","37.480884","126.9818925"
"51","제1종일반주거지역_01057","UQA121","제1종일반주거지역"," "," ","제1종일반주거지역"," ","37.484488","126.9495327"
"53","제1종일반주거지역_01085","UQA121","제1종일반주거지역"," "," ","제1종일반주거지역"," ","37.4626294","126.9250735"
"56","제1종일반주거지역_00013","UQA121","제1종일반주거지역"," "," ","제1종일반주거지역"," ","37.5167899","127.1017248"
"57","제1종일반주거지역_01062","UQA121","제1종일반주거지역"," "," ","제1종일반주거지역"," ","37.4798399","126.959566"
"58","제2종일반주거지역(7층이하)_00810","UQA124","제2종일반주거지역(7층이하)"," "," ","제2종일반주거지역(7층이하)"," ","37.4989519","126.9111998"
"61","제1종일반주거지역_00527","UQA121","제1종일반주거지역"," "," ","제1종일반주거지역"," ","37.6166919","126.9106503"
"65","제2종일반주거지역_00176","UQA122","제2종일반주거지역"," "," ","제2종일반주거지역"," ","37.5695514","127.0331853"
"66","제1종일반주거지역_01089","UQA121","제1종일반주거지역"," "," ","제1종일반주거지역"," ","37.4675854","126.9142897"
"67","제1종일반주거지역_00094","UQA121","제1종일반주거지역"," "," ","제1종일반주거지역"," ","37.5252947","126.9703155"
"68","제2종일반주거지역_UQA12220100513344","UQA122","제2종일반주거지역","UQA12220100513344","58022051","제2종일반주거지역","20100422","37.5779402","127.015945"
"69","제1종일반주거지역_00295","UQA121","제1종일반주거지역"," "," ","제1종일반주거지역"," ","37.6121298","127.0385363"
"70","제2종일반주거지역(7층이하)_00676","UQA124","제2종일반주거지역(7층이하)"," "," ","제2종일반주거지역(7층이하)"," ","37.5396837","126.8705132"
"72","제2종일반주거지역(7층이하)_00001","UQA124","제2종일반주거지역(7층이하)"," "," ","제2종일반주거지역(7층이하)"," ","37.5023088","126.9153616"
"73","제1종일반주거지역_00157","UQA121","제1종일반주거지역"," "," ","제1종일반주거지역"," ","37.5444077","127.0705669"
"74","제3종일반주거지역_UQA12320051206088","UQA123","제3종일반주거지역","UQA12320051206088","7490","제3종일반주거지역"," ","37.4727587","127.0412362"
"75","제2종일반주거지역(7층이하)_00620","UQA124","제2종일반주거지역(7층이하)"," "," ","제2종일반주거지역(7층이하)"," ","37.5409332","126.9430137"
"77","제1종일반주거지역_00225","UQA121","제1종일반주거지역"," "," ","제1종일반주거지역"," ","37.5870364","127.1003711"
"78","제1종일반주거지역_00699","UQA121","제1종일반주거지역"," "," ","제1종일반주거지역"," ","37.5352579","126.8686979"
"80","제1종일반주거지역_00136","UQA121","제1종일반주거지역"," "," ","제1종일반주거지역"," ","37.5357827","127.0777091"
"82","제2종일반주거지역(7층이하)_00940","UQA124","제2종일반주거지역(7층이하)"," "," ","제2종일반주거지역(7층이하)"," ","37.5167481","127.0318408"
"83","제1종일반주거지역_00581","UQA121","제1종일반주거지역"," "," ","제1종일반주거지역"," ","37.5894039","126.9240578"
"88","제2종일반주거지역_104731","UQA122","제2종일반주거지역","104731","12000451","제2종일반주거지역"," ","37.5911999","126.9423926"
"48","제2종일반주거지역_00985","UQA122","제2종일반주거지역"," "," ","제2종일반주거지역"," ","37.501103","126.9164451"
"50","제3종일반주거지역_00017","UQA123","제3종일반주거지역"," "," ","제3종일반주거지역"," ","37.5474241","127.1300115"
"52","제2종일반주거지역_00215","UQA122","제2종일반주거지역"," "," ","제2종일반주거지역"," ","37.5536158","127.0779776"
"54","제2종일반주거지역_00567","UQA122","제2종일반주거지역"," "," ","제2종일반주거지역"," ","37.6061912","126.9183569"
"59","제2종일반주거지역_01113","UQA122","제2종일반주거지역"," "," ","제2종일반주거지역"," ","37.4857922","127.0221366"
"60","제2종일반주거지역_00800","UQA122","제2종일반주거지역"," "," ","제2종일반주거지역"," ","37.5178384","126.8346763"
"63","제1종일반주거지역_00877","UQA121","제1종일반주거지역"," "," ","제1종일반주거지역"," ","37.5381058","126.8476103"
"64","제2종일반주거지역_00838","UQA122","제2종일반주거지역"," "," ","제2종일반주거지역"," ","37.5559021","126.8504835"
"71","제3종일반주거지역_00793","UQA123","제3종일반주거지역"," "," ","제3종일반주거지역"," ","37.484627","127.0359334"
"76","제1종일반주거지역_01008","UQA121","제1종일반주거지역"," "," ","제1종일반주거지역"," ","37.4946991","126.9298816"
"81","제2종일반주거지역(7층이하)_00162","UQA124","제2종일반주거지역(7층이하)"," "," ","제2종일반주거지역(7층이하)"," ","37.5582603","127.071891"
"84","제2종일반주거지역_UQA12220100507319","UQA122","제2종일반주거지역","UQA12220100507319","58022151","제2종일반주거지역","20100427","37.4521822","127.0593653"
"85","제2종일반주거지역_00336","UQA122","제2종일반주거지역"," "," ","제2종일반주거지역"," ","37.5902121","127.0971558"
"86","제1종일반주거지역_00119","UQA121","제1종일반주거지역"," "," ","제1종일반주거지역"," ","37.5472158","127.0406956"
"87","제3종일반주거지역_102947","UQA123","제3종일반주거지역","102947","11500381","제3종일반주거지역"," ","37.5541748","127.0115964"
"92","제2종일반주거지역(7층이하)_00063","UQA124","제2종일반주거지역(7층이하)"," "," ","제2종일반주거지역(7층이하)"," ","37.5293203","127.1252273"
"93","제1종일반주거지역_00307","UQA121","제1종일반주거지역"," "," ","제1종일반주거지역"," ","37.598155","127.0129024"
"95","제2종일반주거지역(7층이하)_UQA12420071009561","UQA124","제2종일반주거지역(7층이하)","UQA12420071009561","58005213","제2종일반주거지역(7층이하)"," ","37.5840158","127.0560849"
"98","제2종일반주거지역_00288","UQA122","제2종일반주거지역"," "," ","제2종일반주거지역"," ","37.5780124","127.0736826"
"101","제1종일반주거지역_00278","UQA121","제1종일반주거지역"," "," ","제1종일반주거지역"," ","37.5943056","127.0326858"
"104","제2종일반주거지역_00327","UQA122","제2종일반주거지역"," "," ","제2종일반주거지역"," ","37.5747684","127.0881025"
"107","제1종일반주거지역_00646","UQA121","제1종일반주거지역"," "," ","제1종일반주거지역"," ","37.5861654","126.9526962"
"110","제2종일반주거지역_00216","UQA122","제2종일반주거지역"," "," ","제2종일반주거지역"," ","37.5320075","127.0764497"
